Step,BTC_return,SP500_return,BTC_action,SP500_action,Reward,Cumulative_Reward
1,-0.029819293,0.0,Buy,Hold,0.0,0.0
2,0.051451664,-0.0070598708,Sell,Sell,0.029819292162590716,0.029819292162590716
3,0.008954867,0.0,Buy,Hold,0.05145166344511276,0.08127095560770348
4,8.914791e-05,0.0,Buy,Hold,0.008954866877941559,0.09022582248564504
5,0.04829126,0.003533373,Buy,Hold,8.914790612779555e-05,0.09031497039177283
6,0.050773848,-0.0028032386,Buy,Hold,0.04829126010697582,0.13860623049874865
7,-0.010268588,0.0049024513,Buy,Hold,0.050773846435889336,0.189380076934638
8,-0.024850857,0.006655263,Buy,Hold,-0.010268587535248286,0.1791114893993897
9,0.0364869,-0.0028551787,Sell,Sell,0.01819559304034979,0.1973070824397395
10,-0.015798168,0.0,Buy,Hold,0.03648690303834745,0.23379398547808694
11,0.019279106,0.0,Sell,Sell,0.015798168776598898,0.24959215425468584
12,-0.0058956165,0.006976215,Buy,Hold,0.019279106453440997,0.26887126070812684
13,0.08393345,-0.0015145327,Buy,Hold,-0.005895616628883604,0.26297564407924323
14,-0.0023509809,0.0018701969,Buy,Hold,0.08393344808628167,0.3469090921655249
15,-0.0094498135,0.008366553,Buy,Hold,-0.002350980919464507,0.3445581112460604
16,0.023527853,0.0038621624,Buy,Hold,-0.009449813541879348,0.33510829770418105
17,0.0015422163,0.0,Buy,Hold,0.02352785247141642,0.35863615017559747
18,-0.026452929,0.0,Buy,Hold,0.0015422162701026476,0.3601783664457001
19,-0.0055824914,0.0,Sell,Sell,0.026452928527155417,0.38663129497285553
20,0.010193531,-0.0026519776,Buy,Hold,-0.005582491465413786,0.38104880350744175
21,-0.00743418,0.00028907607,Buy,Hold,0.010193531591149663,0.3912423350985914
22,-0.031605147,0.0011409766,Buy,Hold,-0.007434180055016837,0.3838081550435746
23,0.0046296166,-0.009042161,Sell,Sell,0.03046416926257456,0.41427232430614913
24,-0.009186847,0.0,Buy,Hold,0.004629616722148233,0.41890194102829736
25,0.027364554,0.0,Buy,Hold,-0.00918684685986848,0.4097150941684289
26,0.03640752,-0.015730713,Buy,Hold,0.027364554337216074,0.43707964850564496
27,0.05036808,0.010053584,Buy,Hold,0.036407519395889265,0.4734871679015342
28,-0.0044835773,-0.0008668742,Buy,Hold,0.05036808165148732,0.5238552495530215
29,0.020647302,0.003134359,Buy,Hold,-0.004483577295090302,0.5193716722579312
30,-0.016664632,-0.01770582,Buy,Hold,0.02064730312029206,0.5400189753782233
31,0.0045286957,0.0,Sell,Sell,0.034370451893654286,0.5743894272718776
32,-0.005164528,0.0,Buy,Hold,0.00452869583961979,0.5789181231114974
33,-0.0054411134,0.007254614,Buy,Hold,-0.0051645279666768795,0.5737535951448205
34,-0.012111512,0.014980414,Buy,Hold,-0.005441113304621492,0.568312481840199
35,0.047104094,0.011250596,Buy,Hold,-0.012111511652417528,0.5562009701877815
36,0.012105773,0.0033256728,Buy,Hold,0.047104093835473426,0.6033050640232549
37,0.0067978366,-0.0054008537,Buy,Hold,0.012105773319493585,0.6154108373427485
38,0.007061676,0.0,Buy,Hold,0.006797836503646293,0.6222086738463948
39,0.025499407,0.0,Buy,Hold,0.007061676319697785,0.6292703501660926
40,-0.025706325,0.0073263976,Buy,Hold,0.02549940694219166,0.6547697571082842
41,0.035674024,0.0016884726,Sell,Sell,0.018379926666795998,0.6731496837750802
42,0.0115415,0.0064626466,Buy,Hold,0.03567402510806805,0.7088237088831483
43,-0.010814857,-0.0016304457,Buy,Hold,0.011541499979814906,0.7203652088629632
44,0.009568503,0.0018435334,Sell,Sell,0.012445302724019891,0.7328105115869831
45,-0.040989783,0.0,Buy,Hold,0.009568503349817403,0.7423790149368005
46,0.004551204,0.0,Sell,Sell,0.0409897830477971,0.7833687979845976
47,-0.024590332,0.0,Buy,Hold,0.004551203932625647,0.7879200019172232
48,0.046630222,-0.0029199426,Sell,Sell,0.024590331529186438,0.8125103334464097
49,-0.050148845,0.004705786,Buy,Hold,0.0466302236506857,0.8591405570970954
50,-0.0025859163,-0.0038155199,Sell,Sell,0.045443057630363715,0.9045836147274591
51,0.0081142755,-0.010518103,Buy,Hold,-0.0025859164113087862,0.9019976983161503
52,-0.0024012704,0.0,Buy,Hold,0.008114275736580634,0.9101119740527309
53,0.0270443,0.0,Buy,Hold,-0.002401270461409255,0.9077107035913217
54,-0.027642742,-0.033513628,Buy,Hold,0.02704430011708836,0.93475500370841
55,-0.031965196,-0.030279996,Sell,Sell,0.06115636820930204,0.9959113719177121
56,-0.055790953,-0.0037785405,Sell,Sell,0.06224519130562067,1.0581565632233327
57,-0.0040846015,-0.044163242,Sell,Sell,0.05956949234580533,1.117726055569138
58,-0.012754185,-0.008238341,Sell,Sell,0.048247844201733225,1.1659738997708713
59,-0.008411261,0.0,Sell,Sell,0.02099252534180085,1.1869664251126721
60,-0.0043089306,0.0,Buy,Hold,-0.008411261679117432,1.1785551634335547
61,0.03587941,0.046039227,Buy,Hold,-0.0043089307085921735,1.1742462327249625
62,-0.009231887,-0.028107896,Buy,Hold,0.03587941221856461,1.2101256449435271
63,-0.003702871,0.042202592,Sell,Sell,0.03733978296508944,1.2474654279086166
64,0.036951173,-0.033922076,Buy,Hold,-0.0037028710724991143,1.2437625568361175
65,0.004822596,-0.017053852,Buy,Hold,0.03695117168590434,1.2807137285220218
66,-0.023303999,0.0,Buy,Hold,0.004822595830994203,1.285536324353016
67,-0.08999349,0.0,Sell,Sell,0.02330399860322019,1.3088403229562362
